,hd_cluster0,hd_cluster1,hd_cluster10,hd_cluster11,hd_cluster12,hd_cluster13,hd_cluster14,hd_cluster16,hd_cluster17,hd_cluster18,hd_cluster19,hd_cluster2,hd_cluster21,hd_cluster22,hd_cluster3,hd_cluster4,hd_cluster5,hd_cluster6,hd_cluster7,hd_cluster8,hd_cluster9
aq_Archaeo_1,0.4288975415120954,0.2820139272866444,0.0,0.003913281511962198,0.028780131977424923,0.0,0.0071705980414379315,0.000670456208411738,0.0012323031934595718,0.004552315029475719,0.0,0.12091031193077059,0.017350911222609088,0.013818594353771755,0.00981048015219228,0.01918189800333933,0.0016007880044251143,0.011030421707950407,0.00037247501004603544,0.012603857334195775,0.020916323919968803
aq_Archaeo_2,0.4472905770647161,0.12399771623120397,0.0,0.006098791449882865,0.017028672060074877,0.0,0.00432226442596204,0.024315956607083664,0.003128956728083414,0.004572945876322272,0.0,0.143956451459575,0.011942139321096038,0.026134353485223794,0.01309151352746136,2.1955955913681357e-05,0.001478783000423429,0.007157304399618707,0.0009330132025362153,0.06632021720511788,0.003298780423240643
aq_Aspcinzin,0.5119410835200092,0.021063867087465903,0.0,0.011868044965494144,0.004297014340087955,0.0,0.0,0.0010567178618916596,0.006967342531833985,0.010236087740915754,0.0,0.09382609100061512,0.0004661183009840031,0.02131394387669619,0.0009394857919167414,0.0005622257203412473,0.009001627788620062,0.04169330702944171,0.021927244865983957,0.00015496574141638463,0.0
aq_Bactericidal,0.023593091901494882,0.012210668503291786,0.030685878322453,0.17240964538014386,0.00121513107806333,0.0014612454982440965,0.004681823058812623,0.010862548721439673,0.0,0.0,0.0,0.028215244674286794,0.07554423996200695,0.0,0.012939870183258793,0.0,0.0,0.020434280688549186,0.09342197142655032,0.0009561765706879976,0.0
aq_Choano_to_pinaco,0.047830862780690715,0.009383032567619711,0.002818321700049588,0.1760877961734808,0.021476032917525954,0.0,0.5866507679856223,0.0612701839645312,0.003156767513066614,0.0,0.008180532760397383,0.0005975471445884642,0.03882319080355308,0.0014002298930669245,0.14714923186520534,0.0,0.2953760030572037,0.011532788445705107,0.44196475567271865,0.02192268946968911,0.004504979502157018
aq_Choanocytes_1,0.8763868679027954,0.0008161877317373054,0.0009462178245166319,0.00996225514508449,0.011398671990178941,0.0,5.305548910148523e-05,0.0039111737877779475,0.012528079633342367,0.0011109820702458599,0.0,0.017273950037911587,0.011725567455927904,0.07227872279561492,0.004615609262758414,3.318932513251988e-05,0.0,0.027728432391246817,0.0003831672559316176,0.0032499307564850485,0.0010356921249374033
aq_Choanocytes_2,0.8078353545975665,0.0,0.011831213176862455,0.00044718030329880186,0.0015455388151949234,0.0,0.0,0.0034345664278372283,0.0004393807196191943,0.0,0.0,0.011450967351859968,0.013331933023898911,0.014900698558310773,0.018255163988078523,0.0,0.0005193961431353598,0.006307457139903332,0.001301464502034687,0.0033441967014773777,0.0
aq_Collagen,0.1468661124364262,0.0020039865199982286,0.0,0.0,0.0,0.0,0.0,0.0,0.0006838466102974149,0.00029608108368374614,0.0,0.05533903536216863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019862722663544744,0.02071114845049743
aq_Pinaco_1,0.012355931364656767,0.37210958134448885,0.04552481480583053,0.01251163523218988,0.02660143426404014,0.06629659654273491,0.009147307831825909,0.10902043112295542,0.01727747266934896,0.0012715016307943785,0.0,0.003315187520345022,0.0012113706086505807,0.006850890320103655,0.33114940890430977,0.0021921107313673427,0.5682255584136862,0.031587183614443896,0.030045315495638554,0.36191224916277986,0.03538679403536815
aq_Pinaco_2,0.007610585716491393,0.4549745164399298,0.0022445313074371605,0.0,0.012276207601596676,0.2561506252835117,0.004757145058877385,0.0,0.000316660342468549,0.0017804765331013012,0.0,0.007924610986633968,0.0006923611084073757,0.02208145487885823,0.03615042307786234,0.6914648891725166,0.003257554899555614,0.013229664499936778,0.0017226117160466774,0.04365965569810932,0.5987648189114151
aq_Sperm,0.0500494994875315,0.00021792712035892492,0.0,6.991472737681051e-05,0.0011668200360297504,0.0,0.00012416149264459663,0.002589616691451269,0.00036244520801313756,0.0,0.0,0.7344720316116453,0.0,0.008195310571501154,0.0010150687028001085,0.0,0.0005846556305354942,2.2337727080374538e-05,0.0,0.00037159700891900533,0.0
aq_Unk_1,0.18693982252264763,2.4144605171810435e-05,0.0,0.0002509807890331777,0.006404081762962253,0.0,0.0,0.010656146243030134,0.005324172142820389,0.00010802212814599177,0.0,0.537135920769372,0.0,0.0053174843444012895,0.001586041243709636,0.0,8.100162685534323e-05,0.003001516329712493,0.00018592460357291367,0.0032737012660822686,0.0012933456024206602
aq_Unk_2,0.0641069948224802,0.0,0.0,0.00015880253712024307,0.0008591519247107971,0.0,0.00016191518707764883,0.0020600875268137276,0.0173770878056074,0.7179413192583608,0.0647854917863948,0.010165795323145944,0.0,0.1241256603179782,0.0,0.0,0.0,0.11337070480589324,0.0003125696142914397,0.0,0.0
